Unnamed: 0,Rank,Collection,art_normalized_collection,contract_address,collection_name,name,owner_address,normalized_name,normalized_collection
50,51,Nature,nature,0xec085d4ecf95ab3e8251f1f855f2a5711d71c17e,nature-2949,Nature,0x4d64921e90a0c90ac85020a35f4fcda5b85ca733,nature,nature2949
51,52,May Flowers,mayflowers,,,,,,
52,53,Feetsforlife,feetsforlife,,,,,,
53,54,WakaNFT,wakanft,,,,,,
54,55,Celestial Serenity,celestialserenity,,,,,,
55,56,Flacourtia Rukam,flacourtiarukam,,,,,,
56,57,The Supreme Digital Trophies of the Universes,thesupremedigitaltrophiesoftheuniverses,,,,,,
57,58,human character,humancharacter,,,,,,
58,59,Random Bits,randombits,,,,,,
59,60,So I Can Sleep,soicansleep,,,,,,
60,61,bossesxcollection,bossesxcollection,,,,,,
61,62,BTC Punks Collector,btcpunkscollector,,,,,,
62,63,visible stillness,visiblestillness,,,,,,
63,64,ASYNCHRONOUS x,asynchronousx,0x7935108c499701840c7cbbbf7e9b8c4b854de668,asynchronous,ASYNCHRONOUS,0xc89272dab606c00dbe692d4ae326d6c9b041e9b2,,
64,65,ASYNCHRONOUS x,asynchronousx,0x7935108c499701840c7cbbbf7e9b8c4b854de668,asynchronous,ASYNCHRONOUS,0xc89272dab606c00dbe692d4ae326d6c9b041e9b2,,
65,66,ASYNC,async,0x7935108c499701840c7cbbbf7e9b8c4b854de668,asynchronous,ASYNCHRONOUS,0xc89272dab606c00dbe692d4ae326d6c9b041e9b2,,
66,67,Phyllanthus myrtifolius.,phyllanthusmyrtifolius,,,,,,
67,68,The Tarot Crypto,thetarotcrypto,,,,,,
68,69,LOVE LOVE  LOVE,lovelovelove,,,,,,
69,70,KH Dreamer,khdreamer,,,,,,
70,71,Life on the Pacific Coast,lifeonthepacificcoast,,,,,,
71,72,Harmony of Faiths,harmonyoffaiths,,,,,,
72,73,my path is not safe,mypathisnotsafe,,,,,,
73,74,SkullMaximusAI,skullmaximusai,0xe006ca467046fe06cc3a6552f8b2611c2965dc1a,x-i,X.I,0xb192b8c720a905906e1b0e11b167b1b40f1e367c,,
74,75,Best Available Copy by LEGIO X,bestavailablecopybylegiox,,,,,,
75,76,Minecraft Lives,minecraftlives,,,,,,
76,77,Glitch Mania,glitchmania,,,,,,
77,78,Glitch Mania,glitchmania,,,,,,
78,79,Cal & Hannah 5ever,calhannah5ever,,,,,,
79,80,Nk contact,nkcontact,,,,,,
80,81,Nk contact,nkcontact,,,,,,
81,82,Pixels & Paranoia,pixelsparanoia,,,,,,
82,83,Wamo Motors,wamomotors,0xf1204b36f013e26e53de1ab96858ba4afd82a04c,wamo-motors,Wamos Motorss wm,0x42a87fc05b6e26dbd2c8d0187f8351ac6efbd640,,
83,84,Lost Love,lostlove,,,,,,
84,85,HUMAN.LINE,humanline,,,,,,
85,86,RGB Studies,rgbstudies,,,,,,
86,87,.net/C# WeeklyChallenge,netcweeklychallenge,,,,,,
87,88,Memory,memory,0x27952991f51b71efe12d5cbfc73032f005291a60,memoryecho,MemoryEcho,0x350a8b1044f8aa89b81aa70cebc01280286e95d2,,
88,89,Reality Check by Mona von Wittlage,realitycheckbymonavonwittlage,,,,,,
89,90,Idle Transmission,idletransmission,,,,,,
90,91,Cubottino - le origini,cubottinoleorigini,,,,,,
91,92,Cubettino - le origini,cubettinoleorigini,,,,,,
92,93,Private Members Club,privatemembersclub,,,,,,
93,94,Gift Arrays,giftarrays,,,,,,
94,95,Black and gold work,blackandgoldwork,,,,,,
95,96,Echoes of a Place That Never Was,echoesofaplacethatneverwas,0xc5a3e4b2e00199e777d7214da7c83bf20ef21123,echo-,(ECHO) - The Reconstructed Self,0x9f36c30adc0148c49c74dbc7595fb4211d429f84,,
96,97,Gamel Genesis Pass,gamelgenesispass,,,,,,
97,98,Silent Dreams,silentdreams,,,,,,
98,99,Morozoff's Record,morozoffsrecord,,,,,,
99,100,Moodboard Crime(s),moodboardcrimes,,,,,,
